Model,Sales code,Model designation,Engine Kw (BHP),T,Engine,Transmission,Extras
264,3,Pick-up,51 (70),A,**,249,-
264,11,Pick-up,"37 (50)
35 (47)",M,-,-,-
264,21,Pick-up,35 (47),M,157,-,-
264,31,Pick-up,51 (70),M,251,-,-
264,33,Pick-up,51 (70),A,251,249,-
264,51,Pick-up,37 (50),M,-,-,-
264,101,Pick-up,51 (70),M,**,-,201
264,103,Pick-up,37 (50),A,**,249,201
264,111,Pick-up,51 (70),M,-,-,201
264,121,Pick-up,51 (70),M,157,-,201
264,131,Pick-up with wood. platform,51 (70),M,251,-,201
264,133,Pick-up with wood. platform,51 (70),A,251,249,201
264,151,Pick-up with wood. platform,37 (50),M,-,-,201
265,1,Double cab. pick-up,51 (70),M,**,-,-
265,3,Double cab. pick-up,51 (70),A,**,249,-
265,11,Double cab. pick-up,"37 (50)
35 (47)",M,-,-,-
265,31,Double cab. pick-up,51 (70),M,251,-,-
265,33,Double cab. pick-up,51 (70),A,251,249,-
265,51,Double cab. pick-up,37 (50),M,-,-,-
268,1,Double cab. pick-up,51 (70),M,**,-,-
268,3,Double cab. pick-up,51 (70),A,**,249,-
268,11,Double cab. pick-up,"37 (50)
35 (47)",M,-,-,-
268,31,Double cab. pick-up,51 (70),M,251,-,-
268,33,Double cab. pick-up,51 (70),A,251,249,-
268,51,Double cab. pick-up,37 (50),M,-,-,-
271,1,Ambulance,51 (70),M,**,-,-
271,3,Ambulance,51 (70),A,**,249,-
271,11,Ambulance,"37 (50)
35 (47)",M,-,-,150
271,21,Ambulance,35 (47),M,157,-,-
271,31,Ambulance,"51 (70)
50 (68)",M,251,-,150
271,33,Ambulance,"51 (70)
50 (68)",A,251,249,150
274,1,Ambulance,51 (70),M,**,-,-
274,3,Ambulance,51 (70),A,**,249,-
274,11,Ambulance,"37 (50)
35 (47)",M,-,-,150
274,21,Ambulance,35 (47),M,157,-,-
274,31,Ambulance,"51 (70)
50 (68)",M,251,-,150
274,33,Ambulance,"51 (70)
50 (68)",A,251,249,150
