Plate code,Color code,German name,English name,Remarks
523806,L620,savannenbeige,savanna beige,code for Westfalia campmobiles (type 23)
523809,?,?,?,
523811,?,kansasbeige,kansas beige,code for Westfalia campmobiles (type 23)
523812,?,kansasbeige/pastellweiß,kansas beige/pastell white,code for Westfalia campmobiles (type 23)
523904,?,polizeiweiß,police white,
523907,L87,perlweiß,pearl white,code for Westfalia campmobiles (type 23)
523917,L282,lotosweiß,lotus white,code for Westfalia campmobiles (type 23)
523926,L90D,pastellweiß,pastell white,code for Westfalia campmobiles (type 23)
524006,"L41
L282","bottom: ebenholzschwarz
roof: lotosweiß","bottom: ??-woodblack
roof: lotus white",color combination for taxis
526330,?,? rot,? red,code found on 1970 Canadian crewcab (type 26)
6506,"L91D
L90D","bottom: kansasbeige
upper half: pastellweiß","bottom: kansas beige
upper half: pastel white",color combination for microbuses (type 22 and 24)
6510,"L91D
?","bottom: kansasbeige
upper half: schwarz","bottom: kansas beige
upper half: black","color combination for microbuses (type 22 and 24)
(1971-1972)"
6565,L91D,kansasbeige,kansas beige,
6761,"L50H
L581","Bottom: Blau(?)
Roof: Wolkenweiß","Bottom: Brilliant Blue
Roof: Cloud White",
6767,L50H,?,brilliant blue ?,
6861,"L30H
L581","Bottom: Montanarot
Roof: Wolkenweiß","Bottom: Montana Red
Roof: Cloud White",Color combination for microbuses (type 22 and 24)
6868,L30H,montanarot,montana Red,
9006,?,"schwarz, dach und stoßstangen weiß","black, roof and bumpers white",Used on German taxi's
9115,L567,elfenbein,ivory,
9135,?,postgelb,mail yellow,Used on German mail vehicles
9156,L20A,marinogelb,chrome yellow,Code only used on Westfalia campmobiles
9157,"L20A
L90D","unter: marinogelb
Oben: Pastell Weiß","Bottom: Chrome Yellow
Top: Pastell White",Code only used on Westfalia campers
9184,L11H,sierragelb,Sierra Yellow,Code only used on Westfalia campers
9191,?,elfenbein (RAL 1015),Ivory (RAL 1015),Code used for German Taxi's
9199,?,gelb?,yellow?,
9713,?,Bundesbahngrau? (Bundesbahn farb?),Grey? (German-Railways colour?),
9922,?,?,White?,Code for Swiss Mail vehicles?
9226,L20B,leuchtorange,Brilliant Orange,Code only used on Westfalia campers
9227,"L20B
L90D","Bottom: Leuchtorange
Top: Pastellweiß","Bottom: Brilliant Orange
Top: Pastell White",Code only used on Westfalia campers
9300,?,rot (RAL 3000),red (RAL 3000),Code for German Fire-Trucks
9451,L63H,taigagrün,sage Green,Code only used on Westfalia campers
9452,"L63H
L90D","Bottom: Taigagrün
Top: Pastellweiß","Bottom: Sage Green
Top: Pastell White",Code only used on Westfalia campers
9603,?,?,?,
9609,?,?,Army Green,Code for army vehicles
9610,319,grün 319,Green 319,Code for German Army vehicles (Bundeswehr)
9612,?,?,Army Green,Code for army vehicles
9645,?,?,?,
9648,L65K,ravennagrün,ravenna green,Code only used on Westfalia campers
9703,?,orange???,orange???,Code only used on Westfalia campers
9826,L13A,dakotabeige,dakota beige,Code only used on Westfalia campers
9830,"L13A
L90D","Bottom: dakotabeige
Upper half: pastellweiß","Bottom: Dakota Beige
Upper half: Pastell White",Code only used on Westfalia campers
9832,LE1M,mexicobeige,mexico beige,
9922,?,?,?,Code for Swiss mail vehicles (?)
9926,L90D,pastellweiß,pastel white,Code only used on Westfalia campers
A7A7,L345,lichtgrau,light grey,
B1B1,L62H,?,bali yellow,
B9B9,L567,elfenbein,ivory,
A9A9,?,grundiert,primer,
,,,,
D1D1,L13H,ceylonbeige,ceylon beige,
D1R1,"L13H
L90D","bottom: ceylonbeige
upper half: pastellweiß","bottom: ceylon beige
upper half: pastel white",color combination for microbuses (type 22)
D5D5,L13A,dakotabeige,dakota beige,(1978)
D9D9,LE1M,mexicobeige,mexico beige,
E1E1,L20B,leuchtorange,brilliant orange,
E1R1,"L20B
L90D","bottom: leuchtorange
upper half: pastellweiß","bottom: brilliant orange
upper half: pastel white",Color combination for microbuses (type 22)
E6E6,L20A,marinogelb,chrome yellow,until Chassis nr 2x7 2079871
,L21H,marinogelb,chrome yellow,from chassis nr 2x7 2079872 on
E9E9,L12A,panamabraun,panama brown,
G1G1,L30B,kasanrot,kasan red,
G1R1,"L30B
L90D","bottom: kasanrot
upper half: pastellweiß","bottom: kasan red
upper half: pastel white",color combination for microbuses (type 22)
G9G9,L31A,senegalrot,senegal red,
J2J2,L53H,orientblau,orient blue,
J2R1,"L20B
L90D","bottom: orientblau
upper half: pastellweiß","Bottom: Orient Blue
Upper half: Pastel White",Color combination for microbuses (type 22)
J4J4,L57H,ozeanblau,reef blue,
J6J6,L50K,neptunblau,neptune blue,
M4M4,L61B,sumatragrün,sumatra green,
M4R1,"L61B
L90D","bottom: sumatragrün
upper half: pastellweiß","bottom: sumatra green
upper half: pastel white",color combination for microbuses (type 22)
P4P4,L63H,taigagrün,sage green,
R1R1,L90D,pastelweiß,pastell white,
T1T1,L86Z,?,agata brown,
